Repository's Location,Branch,File formats,Ignore Glob List,Ignore standalone config,Ignore Commits List,Ignore Authors List
https://github.com/markbind/markbind.git,master,java;js;css;json;md;mbd;mbdf;njk;py;yml,package-lock.json,Yes,,
https://github.com/markbind/vue-strap.git,master,java;js;css;json;md;py;vue;,package-lock.json,Yes,,
https://github.com/powerpointlabs/powerpointlabs.git,dev-release,html;js;css;cs,,Yes,,
https://github.com/powerpointlabs/PowerPointLabs-Website.git,master,html;js;css;cs;md,,Yes,,
https://github.com/reposense/reposense.git,master,java;js;scss;json;md;py;pug;gradle;sh;yml,src/systemtest/resources/**,Yes,,
https://github.com/se-edu/addressbook-level3.git,master,java;js;css;adoc;fxml;gradle,,Yes,,
https://github.com/se-edu/duke.git,master,java;js;css;adoc;fxml,,Yes,,
https://github.com/se-edu/learningresources.git,master,md;mbd;,,Yes,,
https://github.com/TEAMMATES/teammates.git,master,java;js;scss;md;py;tag;html;ts,,Yes,,
https://github.com/CATcher-org/CATcher.git,master,js;css;html;ts,,Yes,,
https://github.com/Parcly-Taxel/FETcher.git,master,py;md;txt,,Yes,,
https://github.com/python/mypy.git,master,py;rst,,Yes,,
https://github.com/gohugoio/hugo.git,master,go,,Yes,,
https://github.com/PyCQA/pylint.git,master,,,,,
https://github.com/se-edu/se-book.git,master,,,,,
https://github.com/checkstyle/checkstyle.git,master,,,,,
https://github.com/OpenRefine/OpenRefine.git,master,,,,,
https://github.com/whyboris/Video-Hub-App.git,master,,,,,
https://github.com/netlify/netlify-cms.git,master,,,,,
